,s09,s10,s11,s12,Avg
Team 141,0.294,0.188,0.233,0.25,0.241
Team  84,0.246,0.195,0.241,0.267,0.237
Team  66,0.179,0.199,0.276,0.272,0.232
Team  47,0.218,0.208,0.232,0.254,0.228
Team 149,0.248,0.199,0.225,0.235,0.227
Team 133,0.241,0.14,0.296,0.228,0.226
Team  46,0.225,0.183,0.233,0.253,0.224
Team   2,0.206,0.181,0.231,0.27,0.222
Team  11,0.252,0.179,0.215,0.242,0.222
Team  92,0.165,0.119,0.331,0.262,0.219
Team 119,0.242,0.171,0.216,0.234,0.216
Team  78,0.225,0.171,0.224,0.236,0.214
Team  99,0.233,0.167,0.224,0.22,0.211
Team  12,0.219,0.167,0.211,0.221,0.205
Team  48,0.219,0.168,0.215,0.218,0.205
Team  30,0.219,0.167,0.211,0.22,0.204
Team  79,0.219,0.167,0.211,0.22,0.204
Team 148,0.219,0.167,0.211,0.22,0.204
Team  13,0.156,0.228,0.187,0.159,0.182
