,id,s09,s10,s11,s12,Avg
Team 139,139,0.717,0.834,0.877,0.861,0.822
Team 140,140,0.760,0.856,0.906,0.918,0.860
Team 141,141,0.170,0.203,0.166,0.148,0.172
Team 143,143,0.762,0.884,0.916,0.924,0.872
Team 144,144,0.365,0.794,0.838,0.924,0.730
Team 146,146,0.686,0.904,0.942,0.926,0.864
Team 147,147,0.707,0.906,0.915,0.926,0.864
Team 148,148,0.672,0.919,0.930,0.922,0.861
Team 149,149,0.849,0.872,0.923,0.917,0.890
Team 150,150,0.828,0.859,0.914,0.936,0.884
